family,scope,model,validation_accuracy_mean,validation_auc_mean,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_specificity_mean,test_precision_mean,test_f1_mean,test_auc_mean,test_auc_std
raw_sequence,raw_windows,gru,0.79,0.836,0.71,0.0894427190999916,0.62,0.8,0.7645238095238096,0.6782026143790849,0.8160000000000001,0.08324662155306964
raw_sequence,raw_windows,lstm,0.8,0.852,0.6900000000000001,0.06519202405202647,0.58,0.8,0.7786324786324786,0.6448321891685735,0.768,0.11903780911962382
