Fold,Model,Foot,BestParams,Val_AUC,Test_Acc,Test_Sens,Test_Spec,Test_AUC
3,Random Forest,Right,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 200, 'random_state': 42}",0.74,0.6,0.5,0.7,0.75
3,Random Forest,Combined,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 200, 'random_state': 42}",0.73,0.65,0.5,0.8,0.78
3,SVM-Linear,Left,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.73,0.65,0.5,0.8,0.74
3,SVM-Linear,Right,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.8,0.55,0.5,0.6,0.68
3,SVM-Linear,Combined,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.81,0.55,0.3,0.8,0.65
3,SVM-RBF,Left,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf', 'probability': True}",0.87,0.6,0.8,0.4,0.67
3,SVM-RBF,Right,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.83,0.55,0.6,0.5,0.73
3,SVM-RBF,Combined,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf', 'probability': True}",0.88,0.65,0.9,0.4,0.67
3,1D-ResNet,Left,"{'lr': 0.0003, 'dropout': 0.4}",0.91,0.7,0.8,0.6,0.7
3,1D-ResNet,Right,"{'lr': 0.0003, 'dropout': 0.4}",0.76,0.6,0.4,0.8,0.75
3,1D-ResNet,Combined,"{'lr': 0.0003, 'dropout': 0.2}",0.92,0.65,0.9,0.4,0.78
3,LSTM,Left,"{'lr': 0.0003, 'dropout': 0.4}",0.86,0.75,0.7,0.8,0.8
3,LSTM,Right,"{'lr': 0.0003, 'dropout': 0.4}",0.78,0.65,0.7,0.6,0.76
3,LSTM,Combined,"{'lr': 0.001, 'dropout': 0.2}",0.87,0.7,0.7,0.7,0.74
3,GRU,Left,"{'lr': 0.001, 'dropout': 0.2}",0.9,0.8,0.8,0.8,0.81
3,GRU,Right,"{'lr': 0.0003, 'dropout': 0.2}",0.66,0.55,0.5,0.6,0.67
3,GRU,Combined,"{'lr': 0.001, 'dropout': 0.2}",0.79,0.75,0.8,0.7,0.74
3,PatchTST,Left,"{'lr': 0.0003, 'dropout': 0.2}",0.84,0.55,0.6,0.5,0.6
3,PatchTST,Right,"{'lr': 0.001, 'dropout': 0.2}",0.67,0.65,0.8,0.5,0.64
3,PatchTST,Combined,"{'lr': 0.0003, 'dropout': 0.2}",0.86,0.7,0.7,0.7,0.76
4,Random Forest,Left,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500, 'random_state': 42}",0.92,0.55,0.7,0.4,0.66
4,Random Forest,Right,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500, 'random_state': 42}",0.86,0.55,0.6,0.5,0.7
4,Random Forest,Combined,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 200, 'random_state': 42}",0.93,0.6,0.8,0.4,0.78
4,SVM-Linear,Left,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.83,0.65,0.6,0.7,0.71
4,SVM-Linear,Right,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.88,0.65,0.6,0.7,0.66
4,SVM-Linear,Combined,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.88,0.7,0.8,0.6,0.7
4,SVM-RBF,Left,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}",0.9,0.7,0.7,0.7,0.675
4,SVM-RBF,Right,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.85,0.6,0.6,0.6,0.64
4,SVM-RBF,Combined,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.89,0.55,0.5,0.6,0.695
4,1D-ResNet,Left,"{'lr': 0.001, 'dropout': 0.2}",0.86,0.8,0.7,0.9,0.83
4,1D-ResNet,Right,"{'lr': 0.0003, 'dropout': 0.4}",0.86,0.65,0.7,0.6,0.67
4,1D-ResNet,Combined,"{'lr': 0.0003, 'dropout': 0.4}",0.9,0.75,0.6,0.9,0.75
4,LSTM,Left,"{'lr': 0.0003, 'dropout': 0.4}",0.84,0.65,0.7,0.6,0.65
4,LSTM,Right,"{'lr': 0.0003, 'dropout': 0.2}",0.85,0.7,0.6,0.8,0.74
4,LSTM,Combined,"{'lr': 0.0003, 'dropout': 0.4}",0.9,0.65,0.8,0.5,0.73
4,GRU,Left,"{'lr': 0.001, 'dropout': 0.4}",0.77,0.65,0.8,0.5,0.61
4,GRU,Right,"{'lr': 0.0003, 'dropout': 0.2}",0.85,0.6,0.5,0.7,0.58
